,Organisation,Location,Date,Detail,Rocket_status,Price,Mission_status
1,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Sun Sep 10, 2023 12:47 UTC",Atlas V 551 | SILENTBARKER (NROL-107),Active,153,Success
2,CASC,"LC-9A, Taiyuan Satellite Launch Center, China","Sun Sep 10, 2023 04:30 UTC",Long March 6A | Yaogan 40,Active,na,Success
3,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sat Sep 09, 2023 03:12 UTC",Falcon 9 Block 5 | Starlink Group 6-14,Active,67,Success
4,Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA","Fri Sep 08, 2023 15:22 UTC",SpaceShipTwo | Galactic-03,Active,na,Success
5,MHI,"LA-Y1, Tanegashima Space Center, Japan","Wed Sep 06, 2023 23:42 UTC",H-IIA 202 | SLIM & XRISM,Active,90,Success
6,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Sep 06, 2023 18:14 UTC",Long March 4C | Yaogan 33-03,Active,64.68,Success
7,Galactic Energy,"DeFu-15002 Barge, Yellow Sea","Tue Sep 05, 2023 09:34 UTC",Ceres-1S | The Little Mermaid,Active,4.9,Success
8,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Mon Sep 04, 2023 02:47 UTC",Falcon 9 Block 5 | Starlink Group 6-12,Active,67,Success
9,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Sat Sep 02, 2023 14:25 UTC","Falcon 9 Block 5 | Transport & Tracking Layer (Tranche 0, Flight 2)",Active,67,Success
10,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Sat Sep 02, 2023 06:20 UTC",PSLV-XL | Aditya L1,Active,31,Success
11,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri Sep 01, 2023 02:21 UTC",Falcon 9 Block 5 | Starlink Group 6-13,Active,67,Success
12,CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Aug 31, 2023 07:36 UTC",Long March 2D | Yaogan 39 Group 1,Active,29.75,Success
13,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Aug 27, 2023 01:05 UTC",Falcon 9 Block 5 | Starlink Group 6-11,Active,67,Success
14,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Aug 26, 2023 07:27 UTC",Falcon 9 Block 5 | SpaceX Crew-7,Active,67,Success
15,Galactic Energy,"Site 95A, Jiuquan Satellite Launch Center, China","Fri Aug 25, 2023 04:59 UTC",Ceres-1 | Cornfield Chase,Active,4.9,Success
16,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand","Wed Aug 23, 2023 23:45 UTC",Electron/Curie | We Love the Nightlife,Active,7.5,Success
17,NADA,"Pad 2, Sohae Satellite Launching Station, North Korea","Wed Aug 23, 2023 18:50 UTC",Chŏllima 1 | Manligyeong 1 #2,Active,na,Failure
18,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Aug 23, 2023 01:08 UTC",Soyuz 2.1a | Progress MS-24,Active,17.42,Success
19,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Tue Aug 22, 2023 09:37 UTC",Falcon 9 Block 5 | Starlink Group 7-1,Active,67,Success
20,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun Aug 20, 2023 17:45 UTC",Long March 4C | Gaofen-12 04,Active,64.68,Success
21,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Aug 17, 2023 03:36 UTC",Falcon 9 Block 5 | Starlink Group 6-10,Active,67,Success
22,CASIC,"Mobile Launcher Pad, Xichang Satellite Launch Center, China","Mon Aug 14, 2023 05:32 UTC",Kuaizhou 1A | HEAD-3A/B/C/D/E,Active,5.8,Success
23,CASC,"LC-2, Xichang Satellite Launch Center, China","Sat Aug 12, 2023 17:26 UTC",Long March 3B/E | L-SAR4-01 (LTDC-4A),Active,29.15,Success
24,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri Aug 11, 2023 05:17 UTC",Falcon 9 Block 5 | Starlink Group 6-9,Active,67,Success
25,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia","Thu Aug 10, 2023 23:10 UTC",Soyuz 2.1b/Fregat-M | Luna 25,Active,25,Success
26,Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA","Thu Aug 10, 2023 15:17 UTC",SpaceShipTwo | Galactic 02,Active,na,Success
27,Galactic Energy,"Site 95A, Jiuquan Satellite Launch Center, China","Thu Aug 10, 2023 04:03 UTC",Ceres-1 | Lucky 7,Active,4.9,Success
28,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Tue Aug 08, 2023 22:53 UTC",Long March 2C | 5 m S-SAR-02 (Huanjing-2F),Active,30.8,Success
29,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Tue Aug 08, 2023 03:57 UTC",Falcon 9 Block 5 | Starlink Group 6-20,Active,67,Success
30,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Mon Aug 07, 2023 13:20 UTC",Soyuz 2.1b/Fregat-M | Cosmos 2569,Active,25,Success
31,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Aug 07, 2023 02:41 UTC",Falcon 9 Block 5 | Starlink Group 6-8,Active,67,Success
32,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Aug 03, 2023 05:00 UTC",Falcon 9 Block 5 | Galaxy 37,Active,67,Success
33,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Thu Aug 03, 2023 03:47 UTC",Long March 4C | Fengyun-3F,Active,64.68,Success
34,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Wed Aug 02, 2023 00:31 UTC",Antares 230+ | CRS NG-19,Retired,85,Success
35,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Sun Jul 30, 2023 01:01 UTC",PSLV-CA | DS-SAR,Active,21,Success
36,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Jul 29, 2023 03:04 UTC",Falcon Heavy | EchoStar 24 (Jupiter 3),Active,97,Success
